,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
2/1/1987,,7056.6,7022.3,,4251,4248.1,,2805.6,2774.1,,5688.6,5700.7,,3965.4,3979.4,,1723.2,1721.3,,1368,1321.6,,285.6,268.7,,1082.4,1052.9,,56.8,56.5,,69.4,69.3,,44.6,44.1,,631.3,699700,,364.6,395.7,,266.7,304,,522.9,580.5,,332.9,362.7,,190,217.8,,108.4,119.2,,31.6,32.9,,76.7,86.2,,8.2,9.1,,7.9,8.5,,8.7,9.9,,8.4,9.2,,7.7,8.4,,9.9,11.2,,7.3,8.3,,10,10.9,,6.6,7.6,,7687.9,7721.9,,4615.6,4643.8,,3072.3,3078.1,,61.9,62.2,,75.3,75.8,,48.8,48.9,4702.4,1482.9,3219.4,12424.3,6126.7,6297.6
3/1/1987,,7070.9,7133.4,,4269.7,4291.7,,2801.3,2841.7,,5696.9,5725.8,,3972.5,3988.6,,1724.4,1737.2,,1374,1407.6,,297.2,303.1,,1076.9,1104.5,,56.8,57.3,,69.6,69.9,,44.4,45,,651.5,702800,,373.9,385.8,,277.6,317,,540.1,562,,344.4,351.6,,195.7,210.5,,111.4,140.8,,29.5,34.3,,81.9,106.5,,8.4,9,,8.1,8.2,,9,10,,8.7,8.9,,8,8.1,,10.2,10.8,,7.5,9.1,,9,10.2,,7.1,8.8,,7722.5,7836.2,,4643.6,4677.5,,3078.9,3158.7,,62,63,,75.7,76.2,,48.8,50.1,4611.1,1460.7,3150.4,12447.4,6138.2,6309.2
4/1/1987,,7084.6,7109.6,,4270.7,4281.3,,2813.9,2828.2,,5711,5705.1,,3976.9,3975.6,,1734,1729.6,,1373.6,1404.4,,293.8,305.8,,1079.9,1098.7,,56.8,57,,69.5,69.6,,44.5,44.8,,641.3,652000,,362.1,357.3,,279.2,294.7,,531.1,530.6,,332.8,327,,198.3,203.6,,110.2,121.5,,29.4,30.4,,80.9,91.1,,8.3,8.4,,7.8,7.7,,9,9.4,,8.5,8.5,,7.7,7.6,,10.3,10.5,,7.4,8,,9.1,9,,7,7.7,,7725.9,7761.6,,4632.8,4638.7,,3093.1,3123,,62,62.2,,75.3,75.4,,48.9,49.4,4707.1,1510.1,3197.1,12468.7,6148.7,6320
5/1/1987,,7089.9,7103.5,,4270.3,4269.7,,2819.6,2833.8,,5709.2,5696.3,,3978.6,3972,,1730.6,1724.3,,1380.7,1407.2,,291.7,297.7,,1089,1109.5,,56.8,56.9,,69.3,69.3,,44.5,44.8,,633.5,635100,,368.3,366.9,,265.1,268.2,,531.9,530.2,,339.5,337.6,,192.3,192.6,,101.6,104.9,,28.8,29.3,,72.8,75.6,,8.2,8.2,,7.9,7.9,,8.6,8.6,,8.5,8.5,,7.9,7.8,,10,10,,6.9,6.9,,9,8.9,,6.3,6.4,,7723.4,7738.7,,4638.7,4636.6,,3084.7,3102,,61.8,62,,75.3,75.3,,48.7,49,4751.2,1522.5,3228.6,12489.8,6159.2,6330.7
6/1/1987,,7125.5,7128.9,,4294.6,4291.2,,2830.9,2837.7,,5729.7,5705.8,,3992.6,3985.7,,1737.1,1720.1,,1395.7,1423.1,,302,305.5,,1093.7,1117.6,,57,57,,69.6,69.6,,44.6,44.7,,620.4,603100,,365,353.3,,255.4,249.8,,517.8,505.4,,335.2,326.2,,182.7,179.2,,102.5,97.7,,29.8,27.1,,72.7,70.6,,8,7.8,,7.8,7.6,,8.3,8.1,,8.3,8.1,,7.7,7.6,,9.5,9.4,,6.8,6.4,,9,8.2,,6.2,5.9,,7745.8,7732,,4659.6,4644.5,,3086.3,3087.5,,61.9,61.8,,75.5,75.3,,48.7,48.7,4779,1525.1,3253.9,12511,6169.6,6341.4
7/1/1987,,7171.1,7175.6,,4321.5,4320,,2849.6,2855.6,,5776.2,5786.1,,4022.2,4027.2,,1754,1758.9,,1394.8,1389.5,,299.2,292.8,,1095.6,1096.8,,57.2,57.3,,69.9,69.9,,44.9,45,,630.4,610100,,363.8,354.1,,266.6,256,,522.9,510.2,,333.3,327,,189.6,183.2,,107.5,99.9,,30.5,27.1,,77,72.8,,8.1,7.8,,7.8,7.6,,8.6,8.2,,8.3,8.1,,7.7,7.5,,9.8,9.4,,7.2,6.7,,9.3,8.5,,6.6,6.2,,7801.5,7785.7,,4685.3,4674.1,,3116.2,3111.6,,62.3,62.1,,75.8,75.6,,49.1,49,4745.5,1505.6,3239.9,12531.2,6179.7,6351.5
8/1/1987,,7149.6,7092.3,,4310.8,4277.1,,2838.7,2815.2,,5731.9,5671.1,,3992.7,3960,,1739.2,1711.1,,1417.6,1421.2,,318.1,317.1,,1099.5,1104.1,,57,56.5,,69.6,69.1,,44.6,44.3,,630.7,602000,,356.5,347.1,,274.2,254.9,,511.5,495.1,,323.1,317.2,,188.4,177.8,,119.2,107,,33.4,29.8,,85.8,77.1,,8.1,7.8,,7.6,7.5,,8.8,8.3,,8.2,8,,7.5,7.4,,9.8,9.4,,7.8,7,,9.5,8.6,,7.2,6.5,,7780.2,7694.3,,4667.3,4624.1,,3112.9,3070.2,,62,61.3,,75.4,74.7,,48.9,48.3,4856.8,1565.4,3291.4,12551.1,6189.5,6361.5
9/1/1987,,7137.5,7186.5,,4294.2,4312.7,,2843.4,2873.8,,5733.5,5751.3,,3989.3,4000.5,,1744.2,1750.8,,1404.1,1435.3,,304.9,312.3,,1099.2,1123,,56.8,57.2,,69.3,69.6,,44.6,45.1,,600.1,597600,,347.4,345.5,,252.7,252.1,,499.8,488.9,,321,318.1,,178.9,170.8,,100.3,108.7,,26.4,27.4,,73.9,81.3,,7.8,7.7,,7.5,7.4,,8.2,8.1,,8,7.8,,7.4,7.4,,9.3,8.9,,6.7,7,,8,8.1,,6.3,6.8,,7737.7,7784.1,,4641.5,4658.2,,3096.1,3125.9,,61.6,61.9,,74.9,75.1,,48.6,49.1,4787,1541.3,3245.7,12571.1,6199.5,6371.6
10/1/1987,,7167.2,7177.4,,4291.7,4303.4,,2875.6,2874,,5766.2,5767.3,,3993.4,4001.9,,1772.7,1765.4,,1401.1,1410.1,,298.3,301.5,,1102.8,1108.6,,56.9,57,,69.1,69.3,,45,45,,630.5,585400,,367,341.9,,263.5,243.5,,515.9,475.5,,328.6,306.3,,187.3,169.2,,114.6,109.9,,38.4,35.7,,76.2,74.2,,8.1,7.5,,7.9,7.4,,8.4,7.8,,8.2,7.6,,7.6,7.1,,9.6,8.7,,7.6,7.2,,11.4,10.6,,6.5,6.3,,7797.7,7762.8,,4658.7,4645.3,,3139.1,3117.5,,61.9,61.6,,75,74.8,,49.2,48.8,4831.6,1565.9,3265.7,12594.4,6211.1,6383.2
11/1/1987,,7157.3,7182.2,,4293.4,4294.2,,2863.8,2888,,5729,5722.9,,3981.1,3975.7,,1747.9,1747.1,,1428.3,1459.3,,312.3,318.4,,1116,1140.8,,56.7,56.9,,69,69,,44.8,45.2,,616.6,567100,,355.3,329.6,,261.2,237.5,,507.2,469.6,,323.8,303.4,,183.4,166.2,,109.4,97.5,,31.5,26.1,,77.8,71.3,,7.9,7.3,,7.6,7.1,,8.4,7.6,,8.1,7.6,,7.5,7.1,,9.5,8.7,,7.1,6.3,,9.2,7.6,,6.5,5.9,,7773.8,7749.2,,4648.8,4623.8,,3125.1,3125.5,,61.6,61.4,,74.7,74.3,,48.9,48.9,4868.1,1598.8,3269.3,12617.3,6222.6,6394.7
12/1/1987,,7234.6,7330.7,,4341.4,4391,,2893.2,2939.7,,5803.7,5890.7,,4023.4,4073.4,,1780.4,1817.3,,1430.9,1440,,318,317.6,,1112.9,1122.4,,57.2,58,,69.6,70.4,,45.2,45.9,,605.9,620600,,345.3,352.6,,260.6,268.1,,496.4,507.1,,312,313.9,,184.5,193.2,,109.5,113.6,,33.3,38.7,,76.2,74.9,,7.7,7.8,,7.4,7.4,,8.3,8.4,,7.9,7.9,,7.2,7.2,,9.4,9.6,,7.1,7.3,,9.5,10.9,,6.4,6.3,,7840.6,7951.3,,4686.7,4743.5,,3153.9,3207.8,,62,62.9,,75.2,76.1,,49.2,50.1,4689.1,1490.6,3198.5,12640.5,6234.2,6406.3
1/1/1988,,7296.4,7169.4,,4375,4341.5,,2921.5,2827.9,,5850.9,5844.5,,4055.6,4042.6,,1795.3,1801.9,,1445.5,1324.9,,319.4,298.9,,1126.1,1025.9,,57.6,56.6,,70,69.5,,45.5,44.1,,602.8,646200,,339.3,372,,263.5,274.3,,493.5,542.4,,305.3,333.6,,188.2,208.8,,109.3,103.9,,34,38.4,,75.3,65.5,,7.6,8.3,,7.2,7.9,,8.3,8.8,,7.8,8.5,,7,7.6,,9.5,10.4,,7,7.3,,9.6,11.4,,6.3,6,,7899.3,7815.6,,4714.3,4713.5,,3185,3102.1,,62.4,61.7,,75.5,75.5,,49.6,48.3,4848.7,1532.7,3316.1,12664.4,6246.1,6418.2
2/1/1988,,7282,7247.3,,4366.8,4362.7,,2915.2,2884.6,,5857.4,5868.4,,4058.8,4072.2,,1798.7,1796.2,,1424.6,1378.9,,308.1,290.4,,1116.5,1088.4,,57.4,57.1,,69.8,69.7,,45.3,44.9,,583.4,644700,,329.2,356,,254.2,288.8,,470.9,520.7,,295,319.8,,176,200.9,,112.5,124,,34.2,36.2,,78.2,87.9,,7.4,8.2,,7,7.5,,8,9.1,,7.4,8.2,,6.8,7.3,,8.9,10.1,,7.3,8.3,,10,11.1,,6.5,7.5,,7865.4,7892.1,,4696,4718.6,,3169.4,3173.4,,62,62.2,,75,75.4,,49.3,49.4,4795.9,1539.3,3256.6,12688,6258,6430
3/1/1988,,7330.6,7397.4,,4395.4,4420.2,,2935.2,2977.2,,5879.9,5910,,4075.3,4093,,1804.7,1817,,1450.7,1487.5,,320.1,327.3,,1130.5,1160.2,,57.7,58.2,,70.1,70.5,,45.6,46.2,,594.9,645200,,334.9,345.9,,260,299.3,,476.8,494.8,,299,304,,177.8,190.8,,118.1,150.4,,35.8,41.9,,82.3,108.5,,7.5,8,,7.1,7.3,,8.1,9.1,,7.5,7.7,,6.8,6.9,,9,9.5,,7.5,9.2,,10.1,11.4,,6.8,8.5,,7925.5,8042.6,,4730.3,4766.2,,3195.2,3276.5,,62.3,63.3,,75.4,76,,49.6,50.9,4669.1,1503.7,3165.4,12711.8,6269.9,6441.9
4/1/1988,,7359.9,7383.4,,4407.5,4417.3,,2952.4,2966,,5906.7,5898.8,,4097.5,4095.3,,1809.3,1803.5,,1453.2,1484.6,,310,322,,1143.2,1162.5,,57.8,58,,70.2,70.3,,45.8,46,,632.5,644800,,353.9,350.4,,278.6,294.4,,493.5,492.6,,309,303.5,,184.5,189.1,,139,152.2,,44.9,46.9,,94.1,105.3,,7.9,8,,7.4,7.3,,8.6,9,,7.7,7.7,,7,6.9,,9.3,9.5,,8.7,9.3,,12.7,12.7,,7.6,8.3,,7992.4,8028.2,,4761.4,4767.7,,3231,3260.5,,62.8,63.1,,75.8,75.9,,50.1,50.5,4704.4,1512.5,3191.9,12732.6,6280.2,6452.4
5/1/1988,,7343.2,7354.8,,4396.5,4393.8,,2946.7,2961.1,,5893.8,5877.4,,4087.8,4078.9,,1805.9,1798.5,,1449.4,1477.4,,308.7,314.8,,1140.7,1162.6,,57.6,57.7,,69.9,69.8,,45.6,45.8,,591.2,593000,,329.9,329.1,,261.3,263.9,,470.2,469,,295.1,293.9,,175,175.1,,121.1,124,,34.8,35.2,,86.3,88.8,,7.5,7.5,,7,7,,8.1,8.2,,7.4,7.4,,6.7,6.7,,8.8,8.9,,7.7,7.7,,10.1,10.1,,7,7.1,,7934.5,7947.8,,4726.5,4722.8,,3208,3225,,62.2,62.3,,75.1,75.1,,49.6,49.9,4805.5,1567.7,3237.9,12753.3,6290.5,6462.8
6/1/1988,,7360.9,7378.3,,4407.5,4418.4,,2953.4,2959.8,,5900,5883.3,,4097.2,4098.6,,1802.8,1784.7,,1460.9,1495,,310.3,319.9,,1150.6,1175.1,,57.6,57.8,,70,70.1,,45.6,45.7,,602.8,569000,,336.4,316.2,,266.4,252.9,,485.3,459.6,,302.9,287.9,,182.3,171.7,,117.5,109.5,,33.5,28.3,,84.1,81.2,,7.6,7.2,,7.1,6.7,,8.3,7.9,,7.6,7.2,,6.9,6.6,,9.2,8.8,,7.4,6.8,,9.7,8.1,,6.8,6.5,,7963.7,7947.3,,4743.9,4734.6,,3219.8,3212.7,,62.3,62.2,,75.3,75.1,,49.7,49.6,4827,1566.3,3260.7,12774.3,6301,6473.4
7/1/1988,,7377.9,7383.1,,4425,4423.8,,2952.8,2959.3,,5920.9,5933.6,,4115.7,4121.2,,1805.1,1812.4,,1457,1449.5,,309.3,302.6,,1147.7,1146.9,,57.7,57.7,,70.1,70.1,,45.5,45.6,,535,518800,,307.9,300,,227.1,218.8,,440.9,431.5,,283.6,278.3,,157.3,153.2,,94.1,87.3,,24.4,21.7,,69.8,65.6,,6.8,6.6,,6.5,6.4,,7.1,6.9,,6.9,6.8,,6.4,6.3,,8,7.8,,6.1,5.7,,7.3,6.7,,5.7,5.4,,7912.9,7901.8,,4733,4723.8,,3179.9,3178.1,,61.8,61.8,,75,74.8,,49,49,4892.7,1587.6,3305.1,12794.6,6311.4,6483.2
8/1/1988,,7408.3,7353.3,,4418,4382.1,,2990.3,2971.2,,5939.8,5874.5,,4111.1,4076.4,,1828.7,1798.1,,1468.5,1478.8,,306.9,305.7,,1161.6,1173.1,,57.8,57.4,,69.9,69.3,,46.1,45.8,,563.5,538700,,313.9,305.7,,249.6,233,,459.9,445.4,,284.9,279.9,,175,165.5,,103.7,93.3,,29.1,25.8,,74.6,67.4,,7.1,6.8,,6.6,6.5,,7.7,7.3,,7.2,7,,6.5,6.4,,8.7,8.4,,6.6,5.9,,8.7,7.8,,6,5.4,,7971.8,7892,,4731.9,4687.8,,3239.9,3204.2,,62.2,61.6,,74.9,74.2,,49.9,49.4,4922.5,1633.9,3288.6,12814.4,6321.6,6492.8
9/1/1988,,7451.2,7503.2,,4438.4,4457.5,,3012.8,3045.6,,5965.6,5981,,4123.1,4133.4,,1842.6,1847.6,,1485.6,1522.2,,315.4,324.1,,1170.2,1198.1,,58.1,58.5,,70.1,70.4,,46.3,46.8,,555.2,554500,,311,309.8,,244.2,244.7,,448,438.7,,282.3,280,,165.8,158.7,,107.2,115.9,,28.8,29.8,,78.4,86.1,,6.9,6.9,,6.5,6.5,,7.5,7.4,,7,6.8,,6.4,6.3,,8.3,7.9,,6.7,7.1,,8.4,8.4,,6.3,6.7,,8006.4,8057.7,,4749.5,4767.4,,3257,3290.4,,62.4,62.8,,75,75.3,,50.1,50.6,4776.8,1564.6,3212.2,12834.5,6332,6502.6
10/1/1988,,7466.4,7477.3,,4448.5,4461.9,,3018,3015.4,,6011.5,6016.3,,4141.1,4151.7,,1870.5,1864.6,,1454.9,1461,,307.4,310.2,,1147.5,1150.8,,58.1,58.2,,70.1,70.3,,46.3,46.3,,546.3,507900,,306.7,285.8,,239.6,222.1,,439.9,406,,274.6,255.9,,165.3,150.1,,106.4,101.9,,32.2,29.9,,74.3,72,,6.8,6.4,,6.5,6,,7.4,6.9,,6.8,6.3,,6.2,5.8,,8.1,7.5,,6.8,6.5,,9.5,8.8,,6.1,5.9,,8012.7,7985.2,,4755.2,4747.7,,3257.5,3237.5,,62.3,62.1,,75,74.8,,50,49.7,4871.7,1595.4,3276.3,12856.9,6343,6513.9
11/1/1988,,7487.8,7508.6,,4470.5,4469.6,,3017.3,3039,,6000.4,5992.5,,4143,4136.9,,1857.5,1855.6,,1487.3,1516.1,,327.6,332.7,,1159.8,1183.4,,58.1,58.3,,70.4,70.3,,46.2,46.6,,530.2,488400,,292.3,270.8,,238,217.6,,421.4,391.3,,260,244,,161.4,147.3,,108.8,97.1,,32.3,26.8,,76.6,70.3,,6.6,6.1,,6.1,5.7,,7.3,6.7,,6.6,6.1,,5.9,5.6,,8,7.4,,6.8,6,,9,7.5,,6.2,5.6,,8018,7997,,4762.8,4740.4,,3255.2,3256.6,,62.3,62.1,,75,74.6,,49.9,49.9,4882.2,1613.6,3268.6,12879.2,6354,6525.2
12/1/1988,,7521.4,7622.9,,4478.4,4532.1,,3043,3090.8,,6009.5,6103.3,,4152.1,4206.6,,1857.3,1896.7,,1511.9,1519.6,,326.3,325.5,,1185.6,1194.1,,58.3,59.1,,70.4,71.2,,46.6,47.3,,551.6,563300,,304.7,311.3,,246.9,252,,434.5,442.4,,271.3,272.8,,163.2,169.6,,117.1,120.9,,33.4,38.5,,83.7,82.4,,6.8,6.9,,6.4,6.4,,7.5,7.5,,6.7,6.8,,6.1,6.1,,8.1,8.2,,7.2,7.4,,9.3,10.6,,6.6,6.5,,8073,8186.2,,4783.1,4843.4,,3289.8,3342.9,,62.6,63.5,,75.1,76.1,,50.3,51.1,4715.4,1521.8,3193.7,12901.7,6365.1,6536.5
1/1/1989,,7553.1,7423.8,,4485.4,4447.9,,3067.6,2976,,6026.9,6012.4,,4157,4139.8,,1870,1872.6,,1526.1,1411.4,,328.5,308.1,,1197.7,1103.3,,58.5,57.5,,70.5,69.9,,46.8,45.4,,551.8,592000,,300.1,333.2,,251.6,258.8,,430.6,476.9,,266.7,295.6,,163.9,181.3,,121.2,115.2,,33.4,37.6,,87.8,77.5,,6.8,7.4,,6.3,7,,7.6,8,,6.7,7.3,,6,6.7,,8.1,8.8,,7.4,7.5,,9.2,10.9,,6.8,6.6,,8104.8,8015.9,,4785.6,4781.1,,3319.2,3234.8,,62.7,62,,75.2,75.1,,50.6,49.3,4905.8,1585.2,3320.6,12921.7,6366.2,6555.4
2/1/1989,,7605.3,7566.5,,4510.6,4504.9,,3094.6,3061.6,,6063,6072.1,,4183.7,4196.1,,1879.4,1876,,1542.2,1494.4,,327,308.7,,1215.2,1185.7,,58.8,58.5,,70.7,70.7,,47.1,46.6,,540.7,597700,,301.8,325.9,,239,271.9,,426.4,471.1,,264.7,286.2,,161.8,184.9,,114.3,126.6,,37.1,39.7,,77.2,86.9,,6.6,7.3,,6.3,6.7,,7.2,8.2,,6.6,7.2,,5.9,6.4,,7.9,9,,6.9,7.8,,10.2,11.4,,6,6.8,,8146,8164.2,,4812.4,4830.7,,3333.6,3333.5,,62.9,63.1,,75.5,75.8,,50.8,50.8,4777.1,1545.5,3231.6,12941.4,6376.2,6565.1
3/1/1989,,7623.4,7634.6,,4520.1,4521.9,,3103.3,3112.7,,6083.9,6076.3,,4194.4,4188.1,,1889.5,1888.2,,1539.5,1558.3,,325.7,333.8,,1213.8,1224.5,,58.8,58.9,,70.8,70.8,,47.2,47.3,,516.1,545900,,284.8,293.2,,231.3,252.6,,406.6,416.4,,253.3,256.9,,153.3,159.4,,109.5,129.5,,31.5,36.3,,78,93.2,,6.3,6.7,,5.9,6.1,,6.9,7.5,,6.3,6.4,,5.7,5.8,,7.5,7.8,,6.6,7.7,,8.8,9.8,,6,7.1,,8139.5,8180.5,,4804.9,4815.1,,3334.6,3365.4,,62.8,63.1,,75.2,75.4,,50.7,51.2,4780.8,1571.2,3209.6,12961.3,6386.4,6575
4/1/1989,,7655.7,7678.4,,4545.1,4554,,3110.6,3124.5,,6117.1,6107.2,,4216.1,4213.2,,1901,1894,,1538.6,1571.2,,329,340.8,,1209.6,1230.5,,59,59.2,,71.1,71.2,,47.2,47.5,,506.1,515000,,275.4,272.8,,230.7,242.2,,390.2,388.9,,239.8,235.6,,150.4,153.3,,115.9,126.1,,35.6,37.2,,80.3,88.9,,6.2,6.3,,5.7,5.7,,6.9,7.2,,6,6,,5.4,5.3,,7.3,7.5,,7,7.4,,9.8,9.8,,6.2,6.7,,8161.8,8193.4,,4820.5,4826.8,,3341.3,3366.6,,62.9,63.1,,75.4,75.5,,50.7,51.1,4786.6,1568.8,3217.8,12980,6395.6,6584.4
5/1/1989,,7711.4,7720.8,,4564.9,4559.9,,3146.5,3160.9,,6134.6,6114.1,,4225.6,4214.1,,1909,1900,,1576.7,1606.7,,339.3,345.8,,1237.5,1260.9,,59.3,59.4,,71.3,71.2,,47.7,47.9,,516.7,517300,,277.9,277.5,,238.9,239.8,,402.8,401.9,,242.4,242.1,,160.4,159.9,,113.9,115.4,,35.4,35.5,,78.5,79.9,,6.3,6.3,,5.7,5.7,,7.1,7.1,,6.2,6.2,,5.4,5.4,,7.8,7.8,,6.7,6.7,,9.5,9.3,,6,6,,8228.1,8238.1,,4842.7,4837.4,,3385.4,3400.8,,63.3,63.4,,75.6,75.5,,51.3,51.6,4760.5,1567.4,3193.1,12998.6,6404.8,6593.8
6/1/1989,,7710.7,7711,,4564,4558.7,,3146.7,3152.3,,6144.9,6116.1,,4220.4,4210.7,,1924.6,1905.3,,1565.7,1595,,343.6,347.9,,1222.1,1247,,59.2,59.2,,71.2,71.1,,47.7,47.7,,493.3,475900,,271.5,259.4,,221.8,216.5,,388.1,377,,238.2,229.6,,149.8,147.4,,105.2,99,,33.3,29.8,,71.9,69.2,,6,5.8,,5.6,5.4,,6.6,6.4,,5.9,5.8,,5.3,5.2,,7.2,7.2,,6.3,5.8,,8.8,7.9,,5.6,5.3,,8203.9,8187,,4835.4,4818.1,,3368.5,3368.9,,63,62.9,,75.4,75.1,,51,51,4830.4,1595.9,3234.5,13017.4,6414.1,6603.4
7/1/1989,,7735.3,7740.8,,4581.7,4581,,3153.6,3159.8,,6145.1,6161.2,,4229.2,4236,,1915.9,1925.2,,1590.2,1579.6,,352.5,345,,1237.7,1234.6,,59.3,59.4,,71.3,71.3,,47.7,47.8,,497.9,482100,,271.3,263.7,,226.6,218.3,,386.8,379.6,,233.9,230.3,,152.8,149.2,,111.2,102.5,,37.3,33.4,,73.8,69.1,,6,5.9,,5.6,5.4,,6.7,6.5,,5.9,5.8,,5.2,5.2,,7.4,7.2,,6.5,6.1,,9.6,8.8,,5.6,5.3,,8233.2,8222.9,,4853,4844.7,,3380.2,3378.1,,63.2,63.1,,75.6,75.4,,51.1,51.1,4813.2,1578.4,3234.9,13036.1,6423.1,6613
8/1/1989,,7774.4,7715.3,,4594.9,4556.3,,3179.4,3159,,6166.9,6096.8,,4239.9,4202.4,,1927,1894.4,,1607.4,1618.5,,355,353.9,,1252.4,1264.6,,59.6,59.1,,71.4,70.8,,48,47.7,,491.4,468300,,267.7,259.7,,223.6,208.6,,381.4,369,,234,229.9,,147.4,139.2,,109.9,99.3,,33.7,29.9,,76.2,69.5,,5.9,5.7,,5.5,5.4,,6.6,6.2,,5.8,5.7,,5.2,5.2,,7.1,6.8,,6.4,5.8,,8.7,7.8,,5.7,5.2,,8265.7,8183.6,,4862.7,4816,,3403,3367.6,,63.3,62.7,,75.6,74.9,,51.4,50.8,4871.1,1616,3255.1,13054.7,6432.1,6622.7
9/1/1989,,7783.7,7841.6,,4591.3,4611.8,,3192.4,3229.8,,6153.7,6168.1,,4224.7,4234.2,,1929,1934,,1630,1673.5,,366.6,377.6,,1263.4,1295.9,,59.5,60,,71.3,71.6,,48.1,48.7,,499.6,499800,,273.7,273.4,,225.9,226.4,,389.3,381.2,,238.7,237.2,,150.5,143.9,,110.3,118.6,,35,36.2,,75.4,82.4,,6,6,,5.6,5.6,,6.6,6.5,,5.9,5.8,,5.3,5.3,,7.2,6.9,,6.3,6.6,,8.7,8.8,,5.6,6,,8283.3,8341.4,,4865,4885.2,,3418.3,3456.2,,63.4,63.8,,75.5,75.8,,51.5,52.1,4732.2,1556,3176.2,13073.6,6441.2,6632.4
